   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   0    5   13   0.781025    26.544693    -0.679651      26.5534   36.24693    0.02243    6
   6    1    4   0.777936   -31.115589     3.571782      31.3199   36.39589    0.03093    6
   1    6    4   0.777936    27.313414     2.560661      27.4332   36.39589    0.02373    6
   1    5   11   0.776984   -60.456202    -4.033358      60.5906   36.44206    0.11544    6
   5    1  -11   0.776984     6.760974     1.307538      6.88625   36.44206    0.00149    6
   0    6    9   0.773664    22.913882     3.239822      23.1418   36.60398    0.01668    6
   6    0    9   0.773664    23.817391     3.311903      24.0466   36.60398    0.01801    6
   4    0   16   0.772104   -82.957491    -3.577745      83.0346   36.68052    0.21371    6
   0    2   19   0.771174    69.668722    18.399030      72.0573   36.72638    0.16050    6
   6    1    5   0.769086   -70.016287    -4.609770      70.1679   36.82964    0.15126    6
   1    6   -5   0.769086     7.430320     1.603956      7.60147   36.82964    0.00178    6
   3    1   17   0.765359   -49.129866    -3.497365      49.2542   37.01547    0.07371    6
   1    3  -17   0.765359    -4.856242     0.071374      4.85677   37.01547    0.00072    6
   0    3   18   0.765057   -51.690470    -2.188975      51.7368   37.03064    0.08125    6
   3    0   18   0.765057   -51.543745    -2.177143      51.5897   37.03064    0.08079    6
   1    4  -15   0.760300    91.012044     6.341162      91.2327   37.27083    0.24909    6
   4    1   15   0.760300    25.486289     1.025517      25.5069   37.27083    0.01947    6
  -4   -1   15   0.760300    90.731411     8.633176      91.1412   37.27083    0.24859    6
   1    4   15   0.760300    25.057280     0.990714      25.0769   37.27083    0.01882    6
   0    1   20   0.758820    42.493633     2.919953      42.5938   37.34620    0.05405    6
   4    2  -13   0.755954    94.321095     4.921679      94.4494   37.49305    0.26349    6
   2    4   13   0.755954    60.927209     2.197574      60.9668   37.49305    0.10979    6
   5    0   14   0.755048    72.440666     5.323442       72.636   37.53970    0.15541    6
   4    4    0   0.751938    32.595877    -0.882060      32.6078   37.70084    0.03102    6
   5    2    9   0.749273  -120.778350    -8.518860      121.078   37.83999    0.42430    6
   5    2   -9   0.749273    -5.684960     0.951594      5.76405   37.83999    0.00096    6
   2    5    9   0.749273  -120.925135    -8.530937      121.226   37.83999    0.42533    6
   2    5   -9   0.749273    -6.449206     0.888708      6.51015   37.83999    0.00123    6
  -3   -2  -16   0.747857    -0.242484    18.249028      18.2506   37.91440    0.00960    6
   2    3  -16   0.747857   -60.636571    -1.966475      60.6684   37.91440    0.10607    6
   4    3   10   0.747795   -76.586850    -4.166795      76.7001   37.91765    0.16950    6
   3    4  -10   0.747795   -29.439011    -0.279708      29.4403   37.91765    0.02497    6
