   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
  -2   -4   -7   0.898052  -101.533938    20.420482      103.567   31.39163    0.44223    3
   2    4    7   0.898052  -160.649140    33.270873      164.058   31.39163    1.10968    3
   1   -6    5   0.894972    35.855895    88.532256      95.5176   31.50246    0.37331    3
   5    1   -5   0.894972   -20.485189   -28.211366      34.8644   31.50246    0.04974    3
  -1   -5   -5   0.894972   145.231052    -1.278145      145.237   31.50246    0.86309    3
   6   -5    5   0.894972   -19.826314    24.603037      31.5973   31.50246    0.04085    3
   0    1   17   0.889114   -45.192382    -7.135778      45.7523   31.71545    0.08441    3
   1    0  -17   0.889114   -46.833119     3.044528       46.932   31.71545    0.08882    3
   3    0   15   0.881209    29.000251    12.033213      31.3977   32.00755    0.03898    3
  -3    0  -15   0.881209    29.715428    -8.915377       31.024   32.00755    0.03805    3
  -3    0   15   0.881209    29.093918    14.717676      32.6047   32.00755    0.04203    3
   3    0  -15   0.881209    30.188016   -11.559573      32.3255   32.00755    0.04131    3
   4    2    8   0.875821    93.695737    28.684117      97.9881   32.20981    0.37449    3
  -4   -2   -8   0.875821   101.267658   -16.981849      102.682   32.20981    0.41122    3
  -2   -4    8   0.875821   -71.733035   -67.824309      98.7206   32.20981    0.38011    3
   2    4   -8   0.875821   -76.204405    55.019692      93.9908   32.20981    0.34456    3
   4    0   13   0.874463    39.378793    59.544470      71.3879   32.26119    0.19808    3
   0    4  -13   0.874463    47.816422    -9.628276      48.7762   32.26119    0.09247    3
   4   -3  -14   0.873062    68.293171    25.809239      73.0074   32.31437    0.20643    3
  -4    1  -14   0.873062   -12.935126   137.538082      138.145   32.31437    0.73912    3
   3    1   14   0.873062    66.771599   -16.347203      68.7436   32.31437    0.18302    3
  -1   -3   14   0.873062     2.303450  -138.516055      138.535   32.31437    0.74330    3
  -6    0    0   0.868263   153.639561    16.126023      154.484   32.49793    0.91304    3
   6    0    0   0.868263   154.786547     0.192293      154.787   32.49793    0.91663    3
   3    3   -9   0.864168   -34.778898    62.896208      71.8714   32.65622    0.19556    3
